treatment,metric,mean_slope,pct_declining,t_stat,p_value,n_students
aug,passive_rate,0.014479497921036007,0.15637860082304528,5.16249879398203,5.08403230258091e-07,243
aug,active_rate,-0.01331641779861633,0.40329218106995884,-4.796310176253491,2.8265086514415135e-06,243
aug,evaluative_rate,-0.0011630801224196726,0.102880658436214,-1.896002059385224,0.05915104633732811,243
aug,mean_words_per_turn,-0.2408864424696188,0.6255144032921811,-1.754117745348055,0.08067610430717549,243
vanilla,passive_rate,0.004363889665963455,0.23076923076923078,1.0792819606395558,0.2817180226201267,208
vanilla,active_rate,-0.014601036543424227,0.25961538461538464,-3.734600129584335,0.00024304510332296217,208
vanilla,evaluative_rate,0.010237146877460775,0.1201923076923077,3.2385291128190845,0.0013995127223907877,208
vanilla,mean_words_per_turn,-0.13432223581664182,0.5384615384615384,-0.41608345757371196,0.6777799935667974,208
