metric,beta_vanilla_minus_aug,se,ci_low,ci_high,p_value,var_class,var_student,var_residual,d_total_var,n_obs,n_classes,n_students,converged
n_turns,-2.94873249333758,0.9458877347931571,-4.802638386950342,-1.0948265997248177,0.0018243939250541586,0.0,114.66180282335944,7.166362676459965,-0.2671539028578562,7089,27,518,True
mean_words_per_turn,4.341510705854902,3.3717097851236377,-2.2669190393087124,10.949940451018517,0.197875200672469,0.0,1456.9342382677983,91.05838989173739,0.11034595869789468,7089,27,518,True
evaluative_rate,0.025831469767154433,0.02608686491125373,-0.025297845928464548,0.0769607854627734,0.3220715744740916,0.0,0.08721342803419913,0.005450839252137445,0.08485803472570178,7089,27,518,True
active_rate,0.008662377484430508,0.04505778218779877,-0.07964925282690544,0.09697400779576645,0.8475460541240536,0.0,0.2601831689135762,0.01626144805709851,0.016475288809292266,7089,27,518,True
passive_rate,-0.03449384725158512,0.05051186030068756,-0.1334952742330513,0.06450757972988104,0.4946788183145068,0.0,0.32698385153845533,0.020436490721153458,-0.058521306592277396,7089,27,518,True
